ID Book,Title,Author,Printing Place,Printing Year,Pub. Place,Pub. Date,Pages,OCLC ID,ULI Entry,Source,Go to External Site,Catalog Information,Content,MARC record,Tags
10000,אבני שהם - חלק א,"טאמאשאוו, משה בנימין בן אלכסנדר יהושע",ברוקלין,"תרצ""ח",Brooklyn,1938,160,,,,,"296.572(73)(090.4) -- Sheelot utshuvot, responsa - Aharonim - United States- 20th (twentieth) century",,,"שו""ת"
10001,אבני שהם - חלק ד,"טאמאשאוו, משה בנימין בן אלכסנדר יהושע",,תשיט,Brooklyn,1959,148,,,,,"296.572(73)(090.4) -- Sheelot utshuvot, responsa - Aharonim - United States- 20th (twentieth) century",,,"שו""ת"
10002,בית אב קמא,"יודלביץ, אברהם אהרן, 1850-1930",,תרפט,Satmar,1929,268,,,,,שאלות ותשובות -- <<04=>> 1800-1948,,,"אורח חיים;שו""ת"
10003,בית אב תליתאי,"יודלביץ, אברהם אהרן, 1850-1930",,תרעח,New York,1918,285,,,,,"296.562.22 -- Shabbat - Halakha - Eruv hatserot (eruv of courtyards), eruv tehumin (eruv of boundaries)",,,"יורה דעה;שו""ת"
10004,בית אליהו מרדכי,"מזאה, אליהו מרדכי",,תשי,New York,1950,62,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.",,,סוגיות
10005,בית שלמה,"קוטלר, שלמה נתן, 1855-1920",,תרפז,Detroit,1927,260,,,,,"296.572(495.6)(090.32) -- Sheelot utshuvot, responsa - Aharonim - Greece - 17th (seventeenth) century",,,
10006,בית ידידיה,"שוחט, שאול ידידיה בן אברהם חיים",,תרסז,Port Amboy,1907,186,,,,,שאלות ותשובות -- <<04=>> 1800-1948,,,"שו""ת"
10007,בית ישראל,ישראל בן מרדכי הכהן כהנא,,תרצ,New York,1930,111,,,,,"שאלות ותשובות -- חכמי המערבתק""ס-תרע""ג.",,,
10008,"בית יצחק - חוברת ה - תשט""ז",ישיבת רבנו יצחק אלחנן,ניו יורק,,,,194,,,,,,,,
10009,קול תורה,שמואל אהרן שזורי,,,,,21,,,,,,,,
10010,ברית עולם,"בלום, חיים יעקב",,תרנו,Warsaw,1896,279,,,,,"296.572(438)(090.34) -- Sheelot utshuvot, responsa - Aharonim - Poland - 19th (nineteenth) century",,,
10011,חבלים בנעימים - חלק א,"גרויברט, יהודה ליב, 1861-1937",,תרסא,Peitrikow,1901,233,,,,,296.867 -- Talmud Bavli - Sugyot.,,,סוגיות
10012,חבלים בנעימים - חלק ב,"גרויברט, יהודה ליב, 1861-1937",,תרסא,Peitrikow,1901,215,,,,,"שאלות ותשובות -- חכמי המערבתק""ס-תרע""ג.",,,סוגיות
10013,חבלים בנעימים - חלק ג,"גרויברט, יהודה ליב, 1861-1937",,תרסא,Peitrikow,1901,224,,,,,296.867 -- Talmud Bavli - Sugyot.,,,"שו""ת"
10014,חבלים בנעימים - חלק ה,"גרויברט, יהודה ליב, 1861-1937",,תרסא,Peitrikow,1901,91,,,,,296.867 -- Talmud Bavli - Sugyot.,,,"שו""ת"
10015,חמדת משה,"בק, משה יעקב",,תשיט,Brooklyn,1959,223,,,,,"296.572 -- Sheelot utshuvot, responsa - Aharonim, from 1601-",,,"שו""ת"
